dwaCode	title	action	object	iwaCode	workActivityCode
4.A.3.a.1.I06.D03	Load or unload materials used in construction or extraction.	Load	Unload Materials Used Construction	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D04	Place materials into molds.	Place	Materials Into Molds	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D05	Load materials into construction equipment.	Load	Materials Into Construction Equipment	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D06	Load materials or equipment.	Load	Materials Equipment	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D07	Load agricultural or forestry products for shipment.	Load	Agricultural Forestry Products Shipment	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D08	Stack finished items for further processing or shipment.	Stack	Finished Items Further Processing	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D09	Secure cargo.	Secure	Cargo	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D10	Load materials into production equipment.	Load	Materials Into Production Equipment	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D11	Unload materials or equipment.	Unload	Materials Equipment	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I06.D12	Load items into ovens or furnaces.	Load	Items Into Ovens Furnaces	4.A.3.a.1.I06	4.A.3.a.1
4.A.3.a.1.I07.D01	Dig holes or trenches.	Dig	Holes Trenches	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D02	Prepare surfaces for finishing.	Prepare	Surfaces Finishing	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D03	Pour materials into or on designated areas.	Pour	Materials Into Designated Areas	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D04	Shovel materials.	Shovel	Materials	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D05	Spread sand, dirt or other loose materials onto surfaces.	Spread	Sand Dirt Loose Materials	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D06	Apply adhesives to construction materials.	Apply	Adhesives Construction Materials	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D07	Assist skilled construction or extraction personnel.	Assist	Skilled Construction Extraction Personnel	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D08	Compact materials to create level bases.	Compact	Materials Create Level Bases	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D09	Spread concrete or other aggregate mixtures.	Spread	Concrete Aggregate Mixtures	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I07.D10	Finish concrete surfaces.	Finish	Concrete Surfaces	4.A.3.a.1.I07	4.A.3.a.1
4.A.3.a.1.I08.D01	Operate garment treatment equipment.	Operate	Garment Treatment Equipment	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I08.D02	Clean fabrics or apparel.	Clean	Fabrics Apparel	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I08.D03	Clean tableware.	Clean	Tableware	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I08.D04	Apply water or solutions to fabrics or apparel.	Apply	Water Solutions Fabrics Apparel	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I08.D05	Clean workpieces or finished products.	Clean	Workpieces Finished Products	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I08.D06	Clean objects.	Clean	Objects	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I08.D07	Clean materials to prepare them for production.	Clean	Materials Prepare Them Production	4.A.3.a.1.I08	4.A.3.a.1
4.A.3.a.1.I09.D01	Sterilize medical equipment or instruments.	Sterilize	Medical Equipment Instruments	4.A.3.a.1.I09	4.A.3.a.1
4.A.3.a.1.I09.D02	Clean medical equipment.	Clean	Medical Equipment	4.A.3.a.1.I09	4.A.3.a.1
4.A.3.a.1.I09.D03	Clean medical equipment or facilities.	Clean	Medical Equipment Facilities	4.A.3.a.1.I09	4.A.3.a.1
4.A.3.a.1.I10.D01	Transport biological or other medical materials.	Transport	Biological Medical Materials	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D02	Move equipment, supplies or food to required locations.	Move	Equipment Supplies Food Required	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D03	Transport animals, crops, or equipment.	Transport	Animals Crops Equipment	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D04	Move materials, equipment, or supplies.	Move	Materials Equipment Supplies	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D05	Deliver items.	Deliver	Items	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D06	Move large objects using heavy equipment.	Move	Large Objects Using Heavy	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D07	Handle caskets.	Handle	Caskets	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D08	Move furniture.	Move	Furniture	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D09	Handle luggage or other possessions for patrons.	Handle	Luggage Possessions Patrons	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D10	Move construction or extraction materials to locations where they are needed.	Move	Construction Extraction Materials Locations	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I10.D11	Move products, materials, or equipment between work areas.	Move	Products Materials Equipment Between	4.A.3.a.1.I10	4.A.3.a.1
4.A.3.a.1.I11.D01	Use weapons or physical force to maintain security.	Use	Weapons Physical Force Maintain	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D02	Block physical access to restricted areas.	Block	Physical Access Restricted Areas	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D03	Provide security escorts for officials, jury members, or other individuals.	Provide	Security Escorts Officials Jury	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D04	Detain suspects or witnesses.	Detain	Suspects Witnesses	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D05	Maintain public order or security.	Maintain	Public Order Security	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D06	Guard facilities.	Guard	Facilities	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D07	Maintain security.	Maintain	Security	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D08	Apprehend criminal suspects.	Apprehend	Criminal Suspects	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D09	Confiscate prohibited or dangerous items.	Confiscate	Prohibited Dangerous Items	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D10	Enforce rules or regulations.	Enforce	Rules Regulations	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D11	Search individuals for illegal or dangerous items.	Search	Individuals Illegal Dangerous Items	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D12	Prevent unauthorized individuals from entering restricted areas.	Prevent	Unauthorized Individuals Entering Restricted	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I11.D13	Maintain safety.	Maintain	Safety	4.A.3.a.1.I11	4.A.3.a.1
4.A.3.a.1.I12.D01	Guide patrons on tours.	Guide	Patrons Tours	4.A.3.a.1.I12	4.A.3.a.1
4.A.3.a.1.I12.D02	Provide escort or transportation.	Provide	Escort Transportation	4.A.3.a.1.I12	4.A.3.a.1
4.A.3.a.1.I12.D03	Usher patrons to seats or exits.	Usher	Patrons Seats Exits	4.A.3.a.1.I12	4.A.3.a.1
4.A.3.a.1.I12.D04	Accompany patients or clients on outings to provide assistance.	Accompany	Patients Clients Outings Provide	4.A.3.a.1.I12	4.A.3.a.1
4.A.3.a.1.I12.D05	Escort prisoners to courtrooms, prisons, or other facilities.	Escort	Prisoners Courtrooms Prisons Facilities	4.A.3.a.1.I12	4.A.3.a.1
4.A.3.a.1.I12.D06	Accompany individuals or groups to activities.	Accompany	Individuals Groups Activities	4.A.3.a.1.I12	4.A.3.a.1
4.A.3.a.1.I13.D01	Transport clients to appointments.	Transport	Clients Appointments	4.A.3.a.1.I13	4.A.3.a.1
4.A.3.a.1.I13.D02	Move patients to or from treatment areas.	Move	Patients Treatment Areas	4.A.3.a.1.I13	4.A.3.a.1
4.A.3.a.1.I14.D01	Climb ladders or vehicles to perform duties.	Climb	Ladders Vehicles Perform Duties	4.A.3.a.1.I14	4.A.3.a.1
4.A.3.a.1.I14.D02	Climb equipment or structures to access work areas.	Climb	Equipment Structures Access Work	4.A.3.a.1.I14	4.A.3.a.1
4.A.3.a.1.I15.D01	Arrange tables or dining areas.	Arrange	Tables Dining Areas	4.A.3.a.1.I15	4.A.3.a.1
4.A.3.a.1.I15.D02	Serve food or beverages.	Serve	Food Beverages	4.A.3.a.1.I15	4.A.3.a.1
4.A.3.a.1.I15.D03	Collect dirty dishes or other tableware.	Collect	Dirty Dishes Tableware	4.A.3.a.1.I15	4.A.3.a.1
4.A.3.a.1.I16.D01	Participate in athletic events.	Participate	Athletic Events	4.A.3.a.1.I16	4.A.3.a.1
4.A.3.a.1.I16.D02	Participate in physical training to maintain fitness.	Participate	Physical Training Maintain Fitness	4.A.3.a.1.I16	4.A.3.a.1
4.A.3.a.1.I16.D03	Practice athletic or artistic skills.	Practice	Athletic Artistic Skills	4.A.3.a.1.I16	4.A.3.a.1
4.A.3.a.1.I17.D01	Harvest agricultural products.	Harvest	Agricultural Products	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D02	Perform manual agricultural, aquacultural, or horticultural tasks.	Perform	Manual Agricultural Aquacultural Horticultural	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D03	Cultivate lawns, turf, or gardens.	Cultivate	Lawns Turf Gardens	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D04	Prepare land for agricultural use.	Prepare	Land Agricultural Use	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D05	Plant greenery to improve landscape appearance.	Plant	Greenery Improve Landscape Appearance	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D06	Plant crops, trees, or other plants.	Plant	Crops Trees Plants	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D07	Cultivate land.	Cultivate	Land	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.1.I17.D08	Irrigate lawns, trees, or plants.	Irrigate	Lawns Trees Plants	4.A.3.a.1.I17	4.A.3.a.1
4.A.3.a.2.I01.D01	Install carpet or flooring.	Install	Carpet Flooring	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D02	Install insulation in equipment or structures.	Install	Insulation Equipment Structures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D03	Install masonry materials.	Install	Masonry Materials	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D04	Assemble structural components.	Assemble	Structural Components	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D05	Install fencing or other barriers.	Install	Fencing Barriers	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D06	Install metal structural components.	Install	Metal Structural Components	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D07	Install structural foundations.	Install	Structural Foundations	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D08	Assemble temporary equipment or structures.	Assemble	Temporary Equipment Structures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D09	Build agricultural structures.	Build	Agricultural Structures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D10	Install safety or support equipment.	Install	Safety Support Equipment	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D11	Install trim or paneling.	Install	Trim Paneling	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D12	Assemble metal structures.	Assemble	Metal Structures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D13	Install building fixtures.	Install	Building Fixtures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D14	Install doors or windows.	Install	Doors Windows	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D15	Install roofing materials.	Install	Roofing Materials	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D16	Construct exhibits or parts of exhibits.	Construct	Exhibits Parts Exhibits	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D17	Install wooden structural components.	Install	Wooden Structural Components	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D18	Install equipment to protect or support trees.	Install	Equipment Protect Support Trees	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D19	Install hardware or other interior fixtures.	Install	Hardware Interior Fixtures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D20	Install green structural components, equipment or systems.	Install	Green Structural Components Equipment	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I01.D21	Install prefabricated or manufactured structures.	Install	Prefabricated Manufactured Structures	4.A.3.a.2.I01	4.A.3.a.2
4.A.3.a.2.I02.D01	Collect samples for analysis or testing.	Collect	Samples Analysis Testing	4.A.3.a.2.I02	4.A.3.a.2
4.A.3.a.2.I02.D02	Collect samples of raw materials or finished products.	Collect	Samples Raw Materials Finished	4.A.3.a.2.I02	4.A.3.a.2
4.A.3.a.2.I02.D03	Collect samples of materials or products for testing.	Collect	Samples Materials Products Testing	4.A.3.a.2.I02	4.A.3.a.2
4.A.3.a.2.I03.D01	Cut cooked or raw foods.	Cut	Cooked Raw Foods	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D02	Prepare foods for cooking or serving.	Prepare	Foods Cooking Serving	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D03	Prepare meat products for sale or consumption.	Prepare	Meat Products Sale Consumption	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D04	Add garnishes to food.	Add	Garnishes Food	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D05	Assist chefs or caterers with food or drink preparation.	Assist	Chefs Caterers Food Drink	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D06	Prepare hot or cold beverages.	Prepare	Hot Cold Beverages	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D07	Cook foods.	Cook	Foods	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D08	Arrange food for serving.	Arrange	Food Serving	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D09	Prepare breads or doughs.	Prepare	Breads Doughs	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D10	Cut meat products.	Cut	Meat Products	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I03.D11	Prepare foods or meals.	Prepare	Foods Meals	4.A.3.a.2.I03	4.A.3.a.2
4.A.3.a.2.I04.D01	Install parts, assemblies, or attachments in transportation or material handling equipment.	Install	Parts Assemblies Attachments Transportation	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D02	Assemble equipment or components.	Assemble	Equipment Components	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D03	Reassemble equipment after repair.	Reassemble	Equipment After Repair	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D04	Assemble precision electronics or optical equipment.	Assemble	Precision Electronics Optical Equipment	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D05	Assemble machine tools, parts, or fixtures.	Assemble	Machine Tools Parts Fixtures	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D06	Assemble electromechanical or hydraulic systems.	Assemble	Electromechanical Hydraulic Systems	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D07	Install vehicle parts or accessories.	Install	Vehicle Parts Accessories	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D08	Install machine or equipment replacement parts.	Install	Machine Equipment Replacement Parts	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D09	Bolt objects into place.	Bolt	Objects Into Place	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D10	Assemble products or production equipment.	Assemble	Products Production Equipment	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D11	Assemble electrical or electronic equipment.	Assemble	Electrical Electronic Equipment	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D12	Assemble mechanical components or machine parts.	Assemble	Mechanical Components Machine Parts	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D13	Install gauges or controls.	Install	Gauges Controls	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I04.D14	Assemble electrical components, subsystems, or systems.	Assemble	Electrical Components Subsystems Systems	4.A.3.a.2.I04	4.A.3.a.2
4.A.3.a.2.I05.D01	Sew clothing or other articles.	Sew	Clothing Articles	4.A.3.a.2.I05	4.A.3.a.2
4.A.3.a.2.I05.D02	Sew materials.	Sew	Materials	4.A.3.a.2.I05	4.A.3.a.2
4.A.3.a.2.I05.D03	Repair textiles or apparel.	Repair	Textiles Apparel	4.A.3.a.2.I05	4.A.3.a.2
4.A.3.a.2.I05.D04	Operate sewing equipment.	Operate	Sewing Equipment	4.A.3.a.2.I05	4.A.3.a.2
4.A.3.a.2.I06.D01	Feed materials or products into or through equipment.	Feed	Materials Products Into Through	4.A.3.a.2.I06	4.A.3.a.2
4.A.3.a.2.I06.D02	Mount attachments or tools onto production equipment.	Mount	Attachments Tools Onto Production	4.A.3.a.2.I06	4.A.3.a.2
4.A.3.a.2.I06.D03	Mount materials or workpieces onto production equipment.	Mount	Materials Workpieces Onto Production	4.A.3.a.2.I06	4.A.3.a.2
4.A.3.a.2.I06.D04	Maneuver workpieces in equipment during production.	Maneuver	Workpieces Equipment During Production	4.A.3.a.2.I06	4.A.3.a.2
4.A.3.a.2.I06.D05	Adjust fabrics or other materials during garment production.	Adjust	Fabrics Materials During Garment	4.A.3.a.2.I06	4.A.3.a.2
4.A.3.a.2.I06.D06	Position raw materials on processing or production equipment.	Position	Raw Materials Processing Production	4.A.3.a.2.I06	4.A.3.a.2
4.A.3.a.2.I07.D01	Reshape metal workpieces to established specifications.	Reshape	Metal Workpieces Established Specifications	4.A.3.a.2.I07	4.A.3.a.2
4.A.3.a.2.I07.D02	Shape clay or dough to create products.	Shape	Clay Dough Create Products	4.A.3.a.2.I07	4.A.3.a.2
4.A.3.a.2.I07.D03	Shape glass or similar materials.	Shape	Glass Similar Materials	4.A.3.a.2.I07	4.A.3.a.2
4.A.3.a.2.I07.D04	Reshape small metal components for precision assembly.	Reshape	Small Metal Components Precision	4.A.3.a.2.I07	4.A.3.a.2
4.A.3.a.2.I07.D05	Shape metal workpieces with hammers or other small hand tools.	Shape	Metal Workpieces Hammers Small	4.A.3.a.2.I07	4.A.3.a.2
4.A.3.a.2.I07.D06	Shape surfaces or edges of wood workpieces.	Shape	Surfaces Edges Wood Workpieces	4.A.3.a.2.I07	4.A.3.a.2
4.A.3.a.2.I08.D01	Arrange artwork, products, or props.	Arrange	Artwork Products Props	4.A.3.a.2.I08	4.A.3.a.2
4.A.3.a.2.I08.D02	Set up merchandise displays.	Set	Up Merchandise Displays	4.A.3.a.2.I08	4.A.3.a.2
4.A.3.a.2.I08.D03	Prepare materials for preservation, storage, or display.	Prepare	Materials Preservation Storage Display	4.A.3.a.2.I08	4.A.3.a.2
4.A.3.a.2.I08.D04	Decorate indoor or outdoor spaces.	Decorate	Indoor Outdoor Spaces	4.A.3.a.2.I08	4.A.3.a.2
4.A.3.a.2.I08.D05	Arrange items for use or display.	Arrange	Items Use Display	4.A.3.a.2.I08	4.A.3.a.2
4.A.3.a.2.I09.D01	Adjust tuning or functioning of musical instruments.	Adjust	Tuning Functioning Musical Instruments	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D02	Adjust equipment controls to regulate gas flow.	Adjust	Equipment Controls Regulate Gas	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D03	Adjust equipment controls to regulate flow of production materials or products.	Adjust	Equipment Controls Regulate Flow	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D04	Calibrate scientific or technical equipment.	Calibrate	Scientific Technical Equipment	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D05	Adjust equipment to ensure optimal performance.	Adjust	Equipment Ensure Optimal Performance	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D06	Calibrate equipment to specifications.	Calibrate	Equipment Specifications	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D07	Adjust temperature controls of ovens or other heating equipment.	Adjust	Temperature Controls Ovens Heating	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D08	Set equipment controls to meet cutting specifications.	Set	Equipment Controls Meet Cutting	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D09	Adjust settings or positions of medical equipment.	Adjust	Settings Positions Medical Equipment	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D10	Adjust office equipment to ensure proper operation.	Adjust	Office Equipment Ensure Proper	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D11	Adjust the tension of nuts or bolts.	Adjust	Tension Nuts Bolts	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D12	Adjust equipment controls to regulate coolant flow.	Adjust	Equipment Controls Regulate Coolant	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D13	Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.	Adjust	Equipment Controls Regulate Flow	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D14	Adjust flow of electricity to tools or production equipment.	Adjust	Flow Electricity Tools Production	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D15	Adjust vehicle components according to specifications.	Adjust	Vehicle Components According Specifications	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D16	Control power supply connections.	Control	Power Supply Connections	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I09.D17	Adjust building climate control systems.	Adjust	Building Climate Control Systems	4.A.3.a.2.I09	4.A.3.a.2
4.A.3.a.2.I10.D01	Train animals.	Train	Animals	4.A.3.a.2.I10	4.A.3.a.2
4.A.3.a.2.I11.D01	Prepare medical supplies or equipment for use.	Prepare	Medical Supplies Equipment Use	4.A.3.a.2.I11	4.A.3.a.2
4.A.3.a.2.I11.D02	Prepare medical instruments or equipment for use.	Prepare	Medical Instruments Equipment Use	4.A.3.a.2.I11	4.A.3.a.2
4.A.3.a.2.I11.D03	Prepare patient treatment areas for use.	Prepare	Patient Treatment Areas Use	4.A.3.a.2.I11	4.A.3.a.2
4.A.3.a.2.I12.D01	Cut openings in existing structures.	Cut	Openings Existing Structures	4.A.3.a.2.I12	4.A.3.a.2
4.A.3.a.2.I12.D02	Trim excess material from workpieces.	Trim	Excess Material Workpieces	4.A.3.a.2.I12	4.A.3.a.2
4.A.3.a.2.I12.D03	Cut materials according to specifications or needs.	Cut	Materials According Specifications Needs	4.A.3.a.2.I12	4.A.3.a.2
